period,partner_desc,net_weight_tons,primary_value_usd,quantity_tons,value_usd,tariff_rate,data_quality_score
201001,USA,4026978.304,1867615744.0,4026978.304,1867615744.0,0.03,100
201001,Brazil,10435.458,5345145.0,10435.458,5345145.0,0.03,100
201002,USA,2948828.928,1352416896.0,2948828.928,1352416896.0,0.03,100
201003,USA,3540076.288,1589307520.0,3540076.288,1589307520.0,0.03,100
201003,Brazil,468953.856,206907728.0,468953.856,206907728.0,0.03,100
201004,USA,2298529.536,1015962048.0,2298529.536,1015962048.0,0.03,100
201004,Brazil,1896304.128,825314176.0,1896304.128,825314176.0,0.03,100
201005,Brazil,3231235.072,1390426368.0,3231235.072,1390426368.0,0.03,100
201005,USA,706071.36,309747168.0,706071.36,309747168.0,0.03,100
201005,Argentina,430307.712,183450944.0,430307.712,183450944.0,0.03,100
201006,Brazil,3985316.352,1702101376.0,3985316.352,1702101376.0,0.03,100
201006,Argentina,1894822.656,801920640.0,1894822.656,801920640.0,0.03,100
201006,USA,276897.664,121107928.0,276897.664,121107928.0,0.03,100
201007,Brazil,2481839.104,1052252736.0,2481839.104,1052252736.0,0.03,100
201007,Argentina,2218768.896,932094720.0,2218768.896,932094720.0,0.03,100
201007,USA,48371.112,20216452.0,48371.112,20216452.0,0.03,100
201008,Brazil,2472083.456,1087312000.0,2472083.456,1087312000.0,0.03,100
201008,Argentina,1729892.352,732004352.0,1729892.352,732004352.0,0.03,100
201008,USA,235670.16,99507816.0,235670.16,99507816.0,0.03,100
201009,Brazil,2237194.752,1006110464.0,2237194.752,1006110464.0,0.03,100
201009,Argentina,1684417.28,763232384.0,1684417.28,763232384.0,0.03,100
201009,USA,279413.76,129789256.0,279413.76,129789256.0,0.03,100
201010,Argentina,1862653.696,872225152.0,1862653.696,872225152.0,0.03,100
201010,Brazil,1050150.272,486246592.0,1050150.272,486246592.0,0.03,100
201010,USA,562448.96,270925248.0,562448.96,270925248.0,0.03,100
201011,USA,3784147.456,1935065984.0,3784147.456,1935065984.0,0.03,100
201011,Argentina,915015.872,452791456.0,915015.872,452791456.0,0.03,100
201011,Brazil,697722.176,349367328.0,697722.176,349367328.0,0.03,100
201012,USA,4887384.064,2604168960.0,4887384.064,2604168960.0,0.03,100
201012,Argentina,454561.152,238147040.0,454561.152,238147040.0,0.03,100
201012,Brazil,58072.376,31979148.0,58072.376,31979148.0,0.03,100
201101,USA,4731048.448,2640716800.0,4731048.448,2640716800.0,0.03,100
201101,Argentina,86775.424,48304224.0,86775.424,48304224.0,0.03,100
201101,Brazil,53973.184,25734670.0,53973.184,25734670.0,0.03,100
201102,USA,2318967.04,1353642752.0,2318967.04,1353642752.0,0.03,100
201102,Argentina,0.03,362.0,0.03,362.0,0.03,100
201103,USA,3440848.384,2039884928.0,3440848.384,2039884928.0,0.03,100
201103,Brazil,69685.0,41819052.0,69685.0,41819052.0,0.03,100
201104,USA,2817992.382,1652166787.0,2817992.382,1652166787.0,0.03,100
201104,Brazil,1048226.857,609188822.0,1048226.857,609188822.0,0.03,100
201105,Brazil,2996433.152,1738946048.0,2996433.152,1738946048.0,0.03,100
201105,USA,1567251.328,910353024.0,1567251.328,910353024.0,0.03,100
201105,Argentina,0.06,748.0,0.06,748.0,0.03,100
201106,Brazil,3213012.224,1851606656.0,3213012.224,1851606656.0,0.03,100
201106,Argentina,639690.624,360882656.0,639690.624,360882656.0,0.03,100
201106,USA,331430.496,184015792.0,331430.496,184015792.0,0.03,100
201107,Brazil,3440433.92,1979979136.0,3440433.92,1979979136.0,0.03,100
201107,Argentina,1411516.16,795635456.0,1411516.16,795635456.0,0.03,100
201107,USA,59360.944,34571760.0,59360.944,34571760.0,0.03,100
