year,brand,total_sales,us_produced,mexico_produced,japan_imported,origin,share_us_produced,share_mexico_produced,share_japan_imported,target_japan_relocation_intensity,total_light_vehicle_sales_million,us_auto_employment_thousands,us_auto_price_index_1982_100
2015,Toyota,1841000,368200,644400,828400,Japan,0.2,0.35002715915263444,0.44997284084736555,0.2,17.857,970.5,145.8
2015,Honda,1287000,257400,450450,579150,Japan,0.2,0.35,0.45,0.2,17.857,970.5,145.8
2015,Nissan,1333000,266600,466550,599850,Japan,0.2,0.35,0.45,0.2,17.857,970.5,145.8
2015,Ford,1240000,930000,124000,186000,US,0.75,0.1,0.15,0.75,17.857,970.5,145.8
2015,Chevrolet,1750000,1312500,175000,262500,US,0.75,0.1,0.15,0.75,17.857,970.5,145.8
2015,Hyundai,761000,152200,266350,342450,Korea,0.2,0.35,0.45,0.2,17.857,970.5,145.8
2015,Kia,625000,125000,218750,281250,Korea,0.2,0.35,0.45,0.2,17.857,970.5,145.8
2015,Subaru,582000,116400,203700,261900,Japan,0.2,0.35,0.45,0.2,17.857,970.5,145.8
2015,Mazda,319000,63800,111650,143550,Japan,0.2,0.35,0.45,0.2,17.857,970.5,145.8
2015,Volkswagen,349000,69800,122150,157050,EU,0.2,0.35,0.45,0.2,17.857,970.5,145.8
2015,BMW,346000,69200,121100,155700,EU,0.2,0.35,0.45,0.2,17.857,970.5,145.8
2015,Mercedes-Benz,343000,68600,120050,154350,EU,0.2,0.35,0.45,0.2,17.857,970.5,145.8
2016,Toyota,1878000,375600,657300,845100,Japan,0.2,0.35,0.45,0.2,17.88,975.2,147.2
2016,Honda,1313000,262600,459550,591850,Japan,0.2,0.35,0.45076161462300074,0.2,17.88,975.2,147.2
2016,Nissan,1360000,272000,476000,612000,Japan,0.2,0.35,0.45,0.2,17.88,975.2,147.2
2016,Ford,1265000,948750,126500,189750,US,0.75,0.1,0.15,0.75,17.88,975.2,147.2
2016,Chevrolet,1785000,1338750,178500,267750,US,0.75,0.1,0.15,0.75,17.88,975.2,147.2
2016,Hyundai,775000,155000,271250,348750,Korea,0.2,0.35,0.45,0.2,17.88,975.2,147.2
2016,Kia,637000,127400,222950,286650,Korea,0.2,0.35,0.45,0.2,17.88,975.2,147.2
2016,Subaru,593000,118600,207550,266850,Japan,0.2,0.35,0.45,0.2,17.88,975.2,147.2
