year,us_chip_output_index,us_chip_output_billions,global_chip_output_billions,us_global_share_pct,global_chip_demand_index,china_import_dependence_pct,r_and_d_intensity_pct,capex_billions,policy_support_index,export_control_index,supply_chain_risk_index,chips_subsidy_index,export_control_index_policy,reshoring_incentive_index,rd_investment_billions,policy_uncertainty_index,target_supply_chain_risk_score
2015,100.0,43.55,335.0,13.0,100.0,12.0,17.0,25.0,3.0,1.0,25.0,0.5,1.0,0.5,0.5,30.0,25.0
2016,99.6,43.39,339.0,12.8,101.2,11.5,17.2,26.0,3.0,1.0,25.0,0.5,1.0,0.5,0.6,35.0,25.0
2017,119.3,51.94,412.2,12.6,123.0,11.0,17.5,30.0,3.0,1.0,30.0,0.5,1.0,0.5,0.7,30.0,30.0
2018,133.5,58.13,468.8,12.4,139.9,10.5,18.0,35.0,3.0,4.0,35.0,1.0,4.0,1.0,0.8,70.0,35.0
2019,115.5,50.3,412.3,12.2,123.1,10.0,18.5,32.0,3.0,6.0,40.0,1.5,5.5,1.5,0.9,80.0,40.0
2020,121.0,52.68,439.0,12.0,131.0,9.5,19.0,28.0,3.0,7.0,80.0,2.0,6.0,2.0,1.0,90.0,80.0
2021,150.6,65.6,555.9,11.8,166.0,9.0,19.5,40.0,3.0,7.0,95.0,2.5,6.5,2.5,1.2,70.0,95.0
2022,152.8,66.53,573.5,11.6,171.2,8.0,19.5,45.0,6.0,8.5,75.0,6.0,8.0,6.0,1.5,65.0,75.0
2023,135.5,59.0,526.8,11.2,157.2,6.0,19.5,48.2,8.5,9.5,50.0,8.0,9.0,8.0,3.0,55.0,50.0
2024,155.6,67.78,627.6,10.8,187.3,4.0,17.7,55.0,9.0,9.5,40.0,9.0,9.5,9.0,5.0,50.0,40.0
