year,total_imports_usd,total_tariff_revenue_usd,effective_tariff_rate,weighted_avg_tariff,china_imports_usd,china_tariff_revenue_usd,china_effective_tariff_rate,scenario,avg_tariff_rate,china_tariff_rate,row_tariff_rate,expected_revenue_billions,import_elasticity,target_tariff_revenue,target_tariff_revenue_scenario
2015,2248811400000.0,34300000000.0,1.53,1.4,483201700000.0,6786823800.0,1.4,historical,,,,,,34300000000.0,
2016,2186785000000.0,34500000000.0,1.58,1.4,462420000000.0,6473880000.0,1.4,historical,,,,,,34500000000.0,
2017,2339591300000.0,34900000000.0,1.49,1.4,505165100000.0,7072311400.0,1.4,historical,,,,,,34900000000.0,
2018,2536145300000.0,41400000000.0,1.63,1.7,538514200000.0,36562964000.0,6.79,historical,,,,,,41400000000.0,
2019,2491699600000.0,71500000000.0,2.87,2.2,449110700000.0,35848856000.0,7.98,historical,,,,,,71500000000.0,
2020,2331477200000.0,67400000000.0,2.89,2.4,432548000000.0,25912880000.0,5.99,historical,,,,,,67400000000.0,
2021,2828515500000.0,80000000000.0,2.83,2.3,504246300000.0,45262167000.0,8.98,historical,,,,,,80000000000.0,
2022,3239732900000.0,98900000000.0,3.05,2.5,536268700000.0,48264183000.0,9.0,historical,,,,,,98900000000.0,
2023,3076796400000.0,80300000000.0,2.61,2.3,427246600000.0,38472200000.0,9.0,historical,,,,,,80300000000.0,
2024,3266410200000.0,100000000000.0,3.06,2.5,438742000000.0,39486780000.0,9.0,historical,,,,,,100000000000.0,
2025,,,,,,,,baseline,0.025,0.025,0.02,0.931261625,-1.2,,931261625.0
2026,,,,,,,,baseline,0.026,0.026,0.0208,0.997555867672,-1.2,,997555867.672
2027,,,,,,,,baseline,0.027,0.027,0.0216,1.0669887115511405,-1.2,,1066988711.5511405
2028,,,,,,,,baseline,0.028,0.028,0.0224,1.1396887803547235,-1.2,,1139688780.3547235
2029,,,,,,,,baseline,0.029,0.029,0.0232,1.2157895896559028,-1.2,,1215789589.6559029
2025,,,,,,,,reciprocal_tariff,0.025,0.0375,0.02,0.931261625,-1.2,,931261625.0
2026,,,,,,,,reciprocal_tariff,0.1,0.15,0.08,3.83345606,-1.2,,3833456060.0
2027,,,,,,,,reciprocal_tariff,0.12,0.18,0.096,4.737050221344,-1.2,,4737050221.344
2028,,,,,,,,reciprocal_tariff,0.13,0.195,0.104,5.285144010839422,-1.2,,5285144010.839421
2029,,,,,,,,reciprocal_tariff,0.14,0.21,0.112,5.861762703483115,-1.2,,5861762703.483115
