year,gdp_growth,industrial_production,unemployment_rate,cpi,real_gdp_growth,industrial_production_index,cpi_index,core_inflation_rate,federal_funds_rate,real_investment_growth,dollar_index,treasury_yield_10y,sp500_index,crypto_index,manufacturing_va_share,manufacturing_employment_share,reshoring_fdi_billions,retaliation_index,tariff_index,china_tariff_index,row_tariff_index,china_tariff_coverage_pct,z_manufacturing_va_share,z_manufacturing_employment_share,z_reshoring_fdi_billions,manufacturing_reshoring_index,target_manufacturing_reshoring_index
2015,2.5,100,5.5,240,2.5,100,240,2.0,0.5,2.749080237694725,95,2.2,2100,400,12.0,9.5,10,0,1.53,1.4,1.5655776370055057,0.0,1.6666666666666643,1.8378003265209897,-1.0772457717355233,0.8090737404840436,0.8090737404840436
2016,2.4,101,5.3,244,2.4,101,244,1.6666666666666607,0.75,3.781428612819832,96,2.4,2200,600,11.9,9.4,11,0,1.58,1.4,1.6282702908027014,0.0,1.0000000000000009,1.2040760759965148,-0.8378578224609625,0.455406084511851,0.455406084511851
2017,2.3,102,5.0,248,2.3,102,248,1.6393442622950838,1.25,3.2239878836228097,97,2.6,2350,900,11.8,9.3,12,1,1.49,1.4,1.5147842398892908,0.0,0.3333333333333376,0.5703518254720399,-0.5984698731864018,0.10173842853965857,0.10173842853965857
2018,2.2,103,4.5,252,2.2,103,252,1.6129032258064502,2.0,2.8373169683940733,95,2.9,2500,1500,11.7,9.2,13,2,1.63,6.79,0.2389857772038089,40.0,-0.3333333333333376,-0.06337242505244638,-0.35908192391184107,-0.2519292274325417,-0.2519292274325417
2019,2.1,104,3.8,256,2.1,104,256,1.5873015873015817,2.5,1.832037280884873,93,2.5,2700,3000,11.6,9.1,12,1,2.87,7.98,1.7464475920729812,65.0,-1.0000000000000009,-0.6970966755769213,-0.5984698731864018,-0.7651888495877746,-0.7651888495877746
2020,-3.0,96,8.0,259,-3.0,96,259,1.171875,0.25,-4.288010959327594,99,1.0,2600,8000,11.5,9.0,11,1,2.89,5.99,2.183865827119832,65.0,-1.6666666666666643,-1.3308209261013964,-0.8378578224609625,-1.2784484717430078,-1.2784484717430078
2021,5.5,102,5.5,264,5.5,102,264,1.9305019305019264,0.25,5.716167224336399,92,1.5,2900,40000,11.6,9.0,15,3,2.83,8.98,1.4957678271518633,62.0,-1.0000000000000009,-1.3308209261013964,0.11969397463728035,-0.7370423171547057,-0.7370423171547057
2022,2.8,104,4.5,276,2.8,104,276,4.545454545454541,0.5,4.092352291549871,94,2.0,3200,20000,11.7,9.1,18,5,3.05,9.0,1.8697370007710843,60.0,-0.3333333333333376,-0.6970966755769213,0.8378578224609625,-0.06419072881643213,-0.06419072881643213
2023,2.3,105,4.2,283,2.3,105,283,2.53623188405796,3.0,2.962230023486417,96,2.8,3500,25000,11.8,9.2,20,6,2.61,9.0,1.5795963540673963,58.0,0.3333333333333376,-0.06337242505244638,1.3166337210100838,0.528864876430325,0.528864876430325
2024,2.0,106,4.0,289,2.0,106,289,2.1201413427561766,5.0,2.816145155592091,98,3.5,3800,28000,11.9,9.3,23,8,3.06,9.0,2.138347494943006,55.0,1.0000000000000009,0.5703518254720399,2.034797568833766,1.2017164647686023,1.2017164647686023
