date,exporter,import_quantity_actual,import_quantity_pred,unit_price_actual,unit_price_pred
2010-06-01,Argentina,1894822.656,430307.712,423.2167255654646,426.32502017433904
2010-07-01,Argentina,2218768.896,1894822.656,420.0954509863383,423.2167255654646
2010-08-01,Argentina,1729892.352,2218768.896,423.15023310743953,420.0954509863383
2010-09-01,Argentina,1684417.28,1729892.352,453.1136037737317,423.15023310743953
2010-10-01,Argentina,1862653.696,1684417.28,468.27016416020456,453.1136037737317
2010-11-01,Argentina,915015.872,1862653.696,494.84546646148794,468.27016416020456
2010-12-01,Argentina,454561.152,915015.872,523.905395240366,494.84546646148794
2011-01-01,Argentina,86775.424,454561.152,556.6578850648237,523.905395240366
2011-02-01,Argentina,0.03,86775.424,12066.264457851405,556.6578850648237
2011-05-01,Argentina,0.06,0.03,12466.458892351795,12066.264457851405
2011-06-01,Argentina,639690.624,0.06,564.1518610087302,12466.458892351795
2011-07-01,Argentina,1411516.16,639690.624,563.6743514147485,564.1518610087302
2011-08-01,Argentina,962799.488,1411516.16,564.2720408254265,563.6743514147485
2011-09-01,Argentina,1088204.672,962799.488,563.0591962753831,564.2720408254265
2011-10-01,Argentina,1072848.384,1088204.672,570.5941017658553,563.0591962753831
2011-11-01,Argentina,1714882.716,1072848.384,544.2920756567096,570.5941017658553
2011-12-01,Argentina,861585.28,1714882.716,520.3827437714344,544.2920756567096
2012-01-01,Argentina,460833.568,861585.28,517.1044484317663,520.3827437714344
2012-02-01,Argentina,26550.0,460833.568,552.1511487550979,517.1044484317663
2012-03-01,Argentina,125261.0,26550.0,546.3685584455947,552.1511487550979
2012-05-01,Argentina,62181.0,125261.0,555.7109084679289,546.3685584455947
2012-06-01,Argentina,584532.544,62181.0,591.5220213973381,555.7109084679289
2012-07-01,Argentina,1107768.192,584532.544,588.8172532032868,591.5220213973381
2012-08-01,Argentina,758726.016,1107768.192,634.7563756128869,588.8172532032868
2012-09-01,Argentina,1087251.712,758726.016,636.2117993145673,634.7563756128869
2016-01-01,Argentina,154892.6,1087251.712,458.62749414459677,636.2117993145673
2016-02-01,Argentina,28664.803,154892.6,458.62750215103074,458.62749414459677
2016-03-01,Argentina,24317.77,28664.803,458.62749748605125,458.62750215103074
2016-04-01,Argentina,59820.796,24317.77,458.63040671577437,458.62749748605125
2016-05-01,Argentina,52629.804,59820.796,458.6274917448177,458.63040671577437
2016-06-01,Argentina,405333.686,52629.804,458.6274948772488,458.6274917448177
2016-07-01,Argentina,1366480.665,405333.686,458.6274947399577,458.6274948772488
2016-08-01,Argentina,1664937.658,1366480.665,458.627494747639,458.6274947399577
2016-09-01,Argentina,1270117.515,1664937.658,458.6274947948745,458.627494747639
2016-10-01,Argentina,1027145.804,1270117.515,458.62749491360563,458.6274947948745
2016-11-01,Argentina,989960.982,1027145.804,458.62749467386726,458.62749491360563
2017-01-01,Argentina,60993.811,989960.982,465.60871560451255,458.62749467386726
2017-03-01,Argentina,9684.6,60993.811,438.11742349316256,465.60871560451255
2017-04-01,Argentina,54233.76,9684.6,438.1174382812824,438.11742349316256
2017-05-01,Argentina,60726.425,54233.76,438.117442275943,438.1174382812824
2017-06-01,Argentina,662607.516,60726.425,438.1174420598663,438.117442275943
2017-07-01,Argentina,1358708.923,662607.516,438.11766370475357,438.1174420598663
2017-08-01,Argentina,1283005.883,1358708.923,438.1174423652755,438.11766370475357
2017-09-01,Argentina,673945.896,1283005.883,438.117441996504,438.1174423652755
2017-10-01,Argentina,679734.784,673945.896,465.6087130587897,438.117441996504
2017-11-01,Argentina,624101.806,679734.784,438.1174423320959,465.6087130587897
2017-12-01,Argentina,574670.043,624101.806,465.6087127888349,438.1174423320959
2018-01-01,Argentina,89150.0,574670.043,412.5700168209471,465.6087127888349
2018-06-01,Argentina,120320.0,89150.0,424.4430352358341,412.5700168209471
2018-07-01,Argentina,297068.0,120320.0,413.81876539912133,424.4430352358341
2018-08-01,Argentina,547942.0,297068.0,423.1925185504612,413.81876539912133
2018-09-01,Argentina,153510.0,547942.0,433.9319262560489,423.1925185504612
2018-10-01,Argentina,33200.006,153510.0,415.435798402704,433.9319262560489
2018-11-01,Argentina,36118.9,33200.006,431.05559691931217,415.435798402704
2018-12-01,Argentina,186640.0,36118.9,442.35649378245625,431.05559691931217
2019-01-01,Argentina,985088.0,186640.0,449.1179001262333,442.35649378245625
2019-02-01,Argentina,841124.0,985088.0,455.2130910538099,449.1179001262333
2019-03-01,Argentina,322858.0,841124.0,451.7965142556424,455.2130910538099
2019-05-01,Argentina,0.067,322858.0,13447.560484171878,451.7965142556424
2019-06-01,Argentina,255216.0,0.067,396.3543704140949,13447.560484171878
2019-07-01,Argentina,1073190.0,255216.0,391.78082259395654,396.3543704140949
2019-08-01,Argentina,655055.0,1073190.0,392.88571799254584,391.78082259395654
2019-09-01,Argentina,976485.0,655055.0,375.5969871525158,392.88571799254584
2019-10-01,Argentina,960093.0,976485.0,383.73856907572105,375.5969871525158
2019-11-01,Argentina,1417110.0,960093.0,397.63007458814235,383.73856907572105
2019-12-01,Argentina,1304930.0,1417110.0,404.98963852436145,397.63007458814235
2020-01-01,Argentina,1370370.0,1304930.0,403.65590533913934,404.98963852436145
2020-02-01,Argentina,432177.0,1370370.0,405.9876485782307,403.65590533913934
2020-03-01,Argentina,335957.014,432177.0,403.43175570549795,405.9876485782307
2020-04-01,Argentina,56165.02,335957.014,385.4423269076475,403.43175570549795
2020-05-01,Argentina,0.05,56165.02,40359.19281614367,385.4423269076475
2020-06-01,Argentina,305939.0,0.05,378.1633920475057,40359.19281614367
2020-07-01,Argentina,1532390.0,305939.0,375.124316916467,378.1633920475057
2020-08-01,Argentina,977539.0,1532390.0,381.32786108750514,375.124316916467
2020-09-01,Argentina,1003960.0,977539.0,373.48590083233046,381.32786108750514
2020-10-01,Argentina,812983.0,1003960.0,389.9435547847988,373.48590083233046
2020-11-01,Argentina,497027.0,812983.0,402.95419765847134,389.9435547847988
2020-12-01,Argentina,131362.0,497027.0,423.0975548452132,402.95419765847134
2021-01-01,Argentina,36486.0,131362.0,524.828564366474,423.0975548452132
2021-02-01,Argentina,45230.0,36486.0,378.8138403630596,524.828564366474
2021-06-01,Argentina,82800.0,45230.0,551.6767753556561,378.8138403630596
2021-07-01,Argentina,660569.0,82800.0,509.77054630097723,551.6767753556561
2021-08-01,Argentina,136906.0,660569.0,620.5422041355342,509.77054630097723
2021-09-01,Argentina,524538.0,136906.0,601.3305365853354,620.5422041355342
2021-10-01,Argentina,923177.0,524538.0,585.0518513778127,601.3305365853354
2021-11-01,Argentina,963502.0,923177.0,596.8036091252568,585.0518513778127
2021-12-01,Argentina,338112.0,963502.0,579.659015354144,596.8036091252568
2022-01-01,Argentina,122511.0,338112.0,598.0002285460245,579.659015354144
2022-06-01,Argentina,0.036,122511.0,9360.851087469793,598.0002285460245
2022-07-01,Argentina,139573.0,0.036,684.0801802591899,9360.851087469793
2022-08-01,Argentina,197625.0,139573.0,734.7923795029233,684.0801802591899
2022-09-01,Argentina,348973.0,197625.0,716.3199359242225,734.7923795029233
2022-10-01,Argentina,144720.0,348973.0,712.3444582593121,716.3199359242225
