scenario,exporter,baseline_import_value,baseline_tariff,new_tariff,tariff_change,simulated_import_quantity,simulated_import_value,import_change_pct,market_share,market_share_value
baseline,US,4200000000.0,0.23,0.23,0.0,9130000.0,5166000000.0,-0.0,9.222222222222221,10.253721042814941
baseline,Brazil,1650000000.0,0.03,0.03,0.0,3590000.0,1699500000.0,-0.0,3.626262626262626,3.3732479504963213
baseline,Argentina,450000000.0,0.03,0.03,0.0,100000.0,463500000.0,-0.0,0.10101010101010101,0.919976713771724
baseline,US,2050000000.0,0.23,0.23,0.0,4490000.0,2521500000.0,-0.0,4.5353535353535355,5.004792413754912
baseline,Brazil,1110000000.0,0.03,0.03,0.0,2440000.0,1143300000.0,-0.0,2.4646464646464645,2.2692758939702524
baseline,US,1110000000.0,0.23,0.23,0.0,2440000.0,1365300000.0,-0.0,2.4646464646464645,2.7099119898868063
baseline,Brazil,315000000.0,0.03,0.03,0.0,690000.0,324450000.00000006,-0.0,0.6969696969696969,0.6439836996402069
baseline,US,625000000.0,0.84,0.84,0.0,1370000.0,1150000000.0,-0.0,1.3838383838383839,2.282574370738905
baseline,Brazil,2210000000.0,0.03,0.03,0.0,4850000.0,2276300000.0,-0.0,4.8989898989899,4.5181078609678
baseline,US,745000000.0,0.84,0.84,0.0,1630000.0,1370799999.9999998,-0.0,1.6464646464646464,2.720828649920774
baseline,Brazil,5520000000.0,0.03,0.03,0.0,12110000.0,5685600000.000001,-0.0,12.232323232323232,11.28504768893315
baseline,US,720000000.0,0.84,0.84,0.0,1580000.0,1324799999.9999998,-0.0,1.5959595959595958,2.629525675091218
baseline,Brazil,4840000000.0,0.03,0.03,0.0,10620000.0,4985200000.0,-0.0,10.727272727272727,9.894860654789209
baseline,US,192000000.0,0.84,0.84,0.0,420000.0,353280000.0,-0.0,0.4242424242424243,0.7012068466909915
baseline,Brazil,4740000000.0,0.03,0.03,0.0,10390000.0,4882200000.0,-0.0,10.494949494949495,9.690421385062159
baseline,Argentina,256000000.0,0.03,0.03,0.0,560000.0,263680000.00000003,-0.0,0.5656565656565656,0.5233645305012474
baseline,US,105000000.0,0.84,0.84,0.0,230000.0,193200000.0,-0.0,0.23232323232323235,0.38347249428413605
baseline,Brazil,4790000000.0,0.03,0.03,0.0,10490000.0,4933700000.0,-0.0,10.595959595959597,9.792641019925684
baseline,Argentina,480000000.0,0.03,0.03,0.0,1050000.0,494400000.00000006,-0.0,1.0606060606060608,0.9813084946898389
baseline,Brazil,5000000000.0,0.03,0.03,0.0,10960000.0,5150000000.000001,-0.0,11.070707070707071,10.22196348635249
