scenario,year,tariff_rate,import_value,revenue,revenue_ml
baseline,2025,0.025,3266410200000.0,81660255000.0,77329065113.5544
baseline,2026,0.026,3254575369544.4614,84618959608.15599,77478008824.05054
baseline,2027,0.027,3242783418948.871,87555152311.61952,77478008824.05054
baseline,2028,0.028,3231034192851.2754,90468957399.83571,77439912995.16129
baseline,2029,0.029,3219327536452.6255,93360498557.12614,73448097172.01518
reciprocal_tariff,2025,0.025,3265984500204.165,81649612505.10413,77329065113.5544
reciprocal_tariff,2026,0.1,2378487895437.5327,237848789543.7533,81616159897.65906
reciprocal_tariff,2027,0.12,2206133541516.7974,264736024982.0157,82257232707.09546
reciprocal_tariff,2028,0.13,2126201093270.9243,276406142125.22015,91608181777.97743
reciprocal_tariff,2029,0.14,2049164750887.3403,286883065124.22766,91608181777.97743
